Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2014,"Steven Wright","BOS",21,-4.433962192175524,,,,,,,2.4194445080227323,,,,,1.170272381853037,"Steven Wright",8185,453214
2016,"Steven Wright","BOS",156.2,-4.963646598484205,,,,,,,2.729324951171875,,,,,0.7440921080623552,"Steven Wright",8185,453214
2015,"Steven Wright","BOS",72.2,-5.407560767197028,,,,,,,1.0004371788983788,,,,,0.4660665004625233,"Steven Wright",8185,453214
2014,"R.A. Dickey","TOR",215.2,-7.052058990345251,,,,,,,,,1.4702032738989526,,,0.007002454431915549,"R.A. Dickey",1245,285079
2016,"R.A. Dickey","TOR",169.2,-7.930515805994743,,,,,,,,,-0.7488158973487647,,,-0.4648340731923575,"R.A. Dickey",1245,285079
2015,"R.A. Dickey","TOR",214.1,-7.781416829427084,,,,,,,,,0.3055128439878806,,,-0.5751152160276719,"R.A. Dickey",1245,285079
2018,"Steven Wright","BOS",53.2,-4.420754609284578,,,,,-7.847556631905692,,-0.09685179244640262,,,,,-0.6174432916336166,"Steven Wright",8185,453214
2017,"R.A. Dickey","ATL",190,-8.915698442302766,,,,,,,,,-1.61363998113894,,,-1.0780299224788,"R.A. Dickey",1245,285079
2017,"Steven Wright","BOS",24,-6.284199641301082,,,,,,,-0.6465460626702559,,,,,-1.5604252036100899,"Steven Wright",8185,453214
2024,"George Kirby","SEA",191,-5.94611256361718,,-0.2807351892644709,-5.948320603528559,,-9.54053430924572,3.7454816595441596,,4.237279570151749,,,,-2.5390000343322754,"George Kirby",25436,669923
2023,"Matt Waldron","SDP",41.1,-4.861304462819859,,1.0982480916109951,,,-9.7206129158068,8.142382869014034,,,,,,-2.560602230495877,"Matt Waldron",25550,663362
2024,"Matt Waldron","SDP",146.2,-5.644157262002268,,-0.07018317091521493,,,-9.463336696030398,7.088115676440329,,,,,,-3.5805147630008145,"Matt Waldron",25550,663362
2023,"George Kirby","SEA",190.2,-5.253283603585881,,,-6.189419573510599,,-9.448578131414203,5.7099236138433005,,4.75385124300733,,-9.530260273054534,,-3.8148059844970703,"George Kirby",25436,669923
2014,"Neftalí Feliz","TEX",31.2,-6.530934366481698,,,,,-8.841764562270221,1.9856626211878765,,,,-7.61327874855917,,,"Neftali Feliz",18,491703
2014,"Erik Bedard","TBR",75.2,8.466775040600181,,2.470391304596611,8.166479949951173,,13.048726399739584,,-3.5497882759831034,,,3.5727288119764213,,,"Erik Bedard",126,407853
2014,"Mark Buehrle","TOR",202,1.8938323230278202,,-1.3853169863985986,,,7.9502572800381905,,-3.840880282204645,,,7.820922540951018,,,"Mark Buehrle",225,279824
2014,"Kyle Farnsworth","- - -",28.2,-5.703516362787603,,-2.880000114440918,,,-8.60085681733631,2.917545526677912,1.399999976158142,,,-8.040985859615702,,,"Kyle Farnsworth",278,150035
2014,"Bartolo Colon","NYM",202.1,-4.340046820239486,,,,,-8.92402782107232,1.712255394977072,,,,-7.530768941845414,,,"Bartolo Colon",375,112526
2014,"CC Sabathia","NYY",46,5.001682999110458,,,,,10.3101201171875,-0.5747150164194058,-1.159999926884969,,,6.837933756510417,,,"CC Sabathia",404,282332
2014,"Fernando Rodney","SEA",66.1,-2.550000046238755,,,,,-7.467455486918604,,,,,-9.766253576144367,,,"Fernando Rodney",494,407845
2014,"Josh Beckett","LAD",115.2,-4.870271996976772,,0.1378448256130876,,,-8.99515503875969,,7.363247863247863,,,-7.4320068359375,,,"Josh Beckett",510,277417
