Season,Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
2014,"Jeremy Affeldt","SFG",55.1,,,,,,1.0641765251623847,,0.6114274206362209,,,2.2350200674903222,,,"Jeremy Affeldt",583,346793
2014,"Scott Downs","- - -",38,,,,,,-0.9286285648422857,0.669864262236613,0.9211376387005051,,,,,,"Scott Downs",773,275933
2014,"Javier López","SFG",37.2,,,,,,0.842562132043603,2.1491875381846177,-2.294686685005824,,,-2.6226623572017016,,,"Javier Lopez",1663,425657
2014,"Chris Capuano","- - -",97.1,,,,,,-1.2616231891862508,-1.9615116118941278,0.3277411015005782,,,2.011737385909913,,,"Chris Capuano",1701,425626
2014,"Jose Veras","- - -",46,,,,2.2480732835499584,,-0.40205743642576247,,-0.19709682707481974,,,,,,"Jose Veras",2063,407842
2014,"Chad Qualls","HOU",51.1,,,,,,-1.0209658578530236,2.8739699066931754,,,,-2.32347808778286,,,"Chad Qualls",2170,430589
2014,"Tony Watson","PIT",77.1,,,,,,1.0985399652249663,-0.255170717957567,,,,0.9536919209395864,,,"Tony Watson",3132,453265
2014,"Pat Neshek","STL",67.1,,,,,,1.445641031543028,2.20217780288623,,,,3.574395826029958,,,"Pat Neshek",4682,450212
2014,"Jake Diekman","PHI",71,,,,,,-0.023750982692708138,0.32720260182270733,,,,5.559316370636225,,,"Jake Diekman",5003,518617
2014,"Darin Downs","HOU",34.2,,,0.0019546862713683993,,,0.4171590050381999,,-0.9797944657264216,,,1.1173741244103597,,,"Darin Downs",5903,445153
2014,"Kyle Kendrick","PHI",199,,,-0.1513869113412248,,,-0.8684328961141318,-1.7844198567086251,,,,0.4433923400938511,,,"Kyle Kendrick",6230,452718
2014,"Marc Rzepczynski","CLE",46,,,,,,-0.14657174025612751,1.5128711215073958,,,,1.9250807352364063,,,"Marc Rzepczynski",6612,519240
2014,"Brad Ziegler","ARI",67,,,,,,-0.15877839998673585,,3.505953482886743,,,-0.3950347591723714,,,"Brad Ziegler",7293,446899
2014,"Ryan Webb","BAL",49.1,,,,,,-0.044906484983461996,2.417345356766705,,,,1.2461152844704115,,,"Ryan Webb",7474,444436
2014,"Huston Street","- - -",59.1,,,,,,1.3113140261598997,2.158528311410919,,,,1.1616345957754561,,,"Huston Street",8258,434718
2014,"Aaron Loup","TOR",68.2,,,,,,0.8605056086076739,0.6187866599513935,,,,-0.17993779539471805,,,"Aaron Loup",10343,571901
2014,"Brandon Cumpton","PIT",70,,,,,,-0.11812594508932484,-0.3534579097672745,,,,-0.027035282533845784,,,"Brandon Cumpton",11366,592238
2014,"Drew Smyly","- - -",153,,,0.39207497396168794,,,0.32783316796297557,,,1.1345061568476609,,-5.7170810986239955,,,"Drew Smyly",11760,592767
2014,"Alex Wood","ATL",171.2,,,,,,0.8013113851111439,,,1.157551697722756,,-0.5261272870035351,,,"Alex Wood",13781,622072
2014,"Andrew Heaney","MIA",29.1,,,,,,-1.7440314377714965,-1.0174834536849906,,,,3.7156188128782173,,,"Andrew Heaney",15423,571760
2015,"Jason Marquis","CIN",47.1,,,,,,-2.08749171906437,-0.5068292617797852,,,,-1.2504669792223266,,,"Jason Marquis",105,150302
2015,"Jeremy Affeldt","SFG",35.1,,,,,,-2.19929488102595,,1.1581763145372723,,,2.740921444880466,,,"Jeremy Affeldt",583,346793
2015,"Javier López","SFG",39.1,,,,,,2.9469278760196023,3.013472004721944,3.4438407217914406,,,-7.027011867612601,,,"Javier Lopez",1663,425657
2015,"Chris Capuano","NYY",40.2,,,,,,-1.2581823983732958,-0.0000742017006387516,-1.7336866023336968,,,-3.6848175612108487,,,"Chris Capuano",1701,425626
2015,"Chad Qualls","HOU",49.1,,,,,,0.15618429570604,0.48912837130627335,,,,10.748621225357056,,,"Chad Qualls",2170,430589
2015,"Tony Watson","PIT",75.1,,,,,,1.346552599635389,3.259748647158796,,,,3.4320904580610136,,,"Tony Watson",3132,453265
2015,"Zack Britton","BAL",65.2,,,,,,1.5814033806617986,3.882859444076365,,,,,,,"Zack Britton",3240,502154
2015,"Héctor Santiago","LAA",180.2,,,-1.1992923543949632,,,0.4260774078046166,-0.37312131155939665,-3.106723908258944,,,-0.9902358421183736,-0.8490529975720815,,"Hector Santiago",4026,502327
2015,"Pat Neshek","HOU",54.2,,,,,,0.9376612210247427,-0.5419669010065085,,,,1.0338649774591127,,,"Pat Neshek",4682,450212
2015,"Jake Diekman","- - -",58.1,,,,,,-0.16664661192878855,0.406100572948169,,,,-0.7030637491317023,,,"Jake Diekman",5003,518617
2015,"Brooks Brown","COL",33,,,,,,1.0217105469464483,-0.8641600795090197,-3.93554052071912,,,-0.4450303512184244,,,"Brooks Brown",5679,453156
2015,"Kyle Kendrick","COL",142.1,,,-1.2764055288128004,,,-1.7217709344392929,-3.766417559998774,,,,-0.3948953806349401,,,"Kyle Kendrick",6230,452718
2015,"Pat Venditte","OAK",28.2,,,,,,-0.3274562916605272,1.2441101996751314,,,,-12.058175029233098,,,"Pat Venditte",7108,519381
2015,"Brad Ziegler","ARI",68,,,,,,1.8479210499023635,,2.4582837215241264,,,1.5963583756862072,,,"Brad Ziegler",7293,446899
2015,"Bryan Shaw","CLE",64,,,0.9064695573058622,,,,-0.40337486945568246,-8.255017292685807,,,-8.661784678697586,,,"Bryan Shaw",8110,543766
2015,"Huston Street","LAA",62.1,,,,,,0.1495366482046044,2.2468763040868858,,,,-0.04305432171181396,,,"Huston Street",8258,434718
2015,"Michael Tonkin","MIN",23.1,,,,,,-0.4242351046710644,1.1301259655091498,,,,8.055415842682123,,,"Michael Tonkin",10315,543859
2015,"Aaron Loup","TOR",42.1,,,,,,-0.15713845032377768,-4.718760907360651,,,,1.4402473244715381,,,"Aaron Loup",10343,571901
2015,"Jake Petricka","CHW",52,,,,,,1.6041624944722443,1.3609268668073196,,,,-2.452309847178075,,,"Jake Petricka",10534,502593
2015,"Sammy Solís","WSN",21.1,,,,,,-0.46413493231226577,-3.6171160638332367,,-1.4096699388963836,,3.8709818408256624,,,"Sammy Solis",11457,519301
2015,"Zach Davies","MIL",34,,,0.015912459869133797,,,0.38514078056707407,,3.9214097791247897,,,1.069370587703897,,,"Zach Davies",13183,605200
2015,"Alex Wood","- - -",189.2,,,,,,0.23322550804820455,,,0.8364409963816823,,0.04172896072541401,,,"Alex Wood",13781,622072
2016,"Javier López","SFG",26.2,,,,,,0.948944049047642,-0.7633158716783729,-5.058467518538237,,,-2.307145394708799,,,"Javier Lopez",1663,425657
2016,"Chris Capuano","MIL",24,,,,,,-1.5213606346930777,-0.5413641837441315,-3.703551118572553,,,0.9071247992656564,,,"Chris Capuano",1701,425626
2016,"Chad Qualls","COL",32.2,,,,,,-0.9645378132709407,-1.1342459980627937,,,,-5.04378704354167,,,"Chad Qualls",2170,430589
2016,"Tony Watson","PIT",67.2,,,,,,-0.26375805182331397,1.5742936293068137,,,,3.946889544101541,,,"Tony Watson",3132,453265
2016,"Héctor Santiago","- - -",182,,,-1.4900312343814286,,,-0.06353758831907333,-1.9977754539689103,-0.8189658660476452,,,0.09491325982998515,-3.259424561013778,,"Hector Santiago",4026,502327
2016,"Pat Neshek","HOU",47,,,,,,0.5282295330633384,2.7246169490559446,,,,-3.387200393869231,,,"Pat Neshek",4682,450212
2016,"Peter Moylan","KCR",44.2,,,,,,0.08280533296403601,0.593712398282285,,,,2.618402077092065,,,"Peter Moylan",4891,493247
2016,"Jake Diekman","TEX",53,,,,,,0.7705577225103909,2.073677257502795,,,,-2.9253948479890823,,,"Jake Diekman",5003,518617
2016,"Pat Venditte","- - -",22,,,,,,-1.9147266713636262,-0.6333157812824121,,,,3.694679699838162,,,"Pat Venditte",7108,519381
2016,"Brad Ziegler","- - -",68,,,,,,1.503471967119437,,2.0948091092017984,,,-0.1611625407764941,,,"Brad Ziegler",7293,446899
2016,"Josh Collmenter","- - -",41.1,,,0.8271365746688307,,,,,1.4614451323346844,,,-1.7779246717691422,,,"Josh Collmenter",7312,518567
2016,"Bryan Shaw","CLE",66.2,,,0.9700391219178243,,,,-0.920741510483922,,,,-10.22799233905971,,,"Bryan Shaw",8110,543766
2016,"J.P. Howell","LAD",50.2,,,,,,1.1520852699227955,,,-0.5989076266033516,,-8.193526503496937,,,"J.P. Howell",8245,434442
2016,"Huston Street","LAA",22.1,,,,,,1.241830342611217,-3.945021463363473,,,,-5.355710677198462,,,"Huston Street",8258,434718
2016,"Buddy Boshers","MIN",36,,,,,,-0.3910528778126745,-2.8307411405775285,1.800943331392569,,,2.335601325566862,,,"Buddy Boshers",8490,542953
2016,"Ryan Weber","ATL",36.1,,,-1.8550928570886156,,,-1.5417755865811846,,-0.6957360936212353,,,1.5154202630122504,,,"Ryan Weber",10160,543901
2016,"Michael Tonkin","MIN",71.2,,,,,,-0.19683917998678727,-1.0385098849640455,,,,-2.682059071958065,,,"Michael Tonkin",10315,543859
2016,"Dean Kiekhefer","STL",22,,,,,,3.040609556443737,-3.6352873114602904,,,,-4.77474881188264,,,"Dean Kiekhefer",10529,518883
2016,"Chris Sale","CHW",226.2,,,,,,0.9125949369282812,1.0439244120978435,,,,1.3826296062996755,,,"Chris Sale",10603,519242
2016,"Sammy Solís","WSN",41,,,,,,1.529801422554367,,,1.557819592095287,,-1.7726780058672793,,,"Sammy Solis",11457,519301
2016,"Williams Pérez","ATL",53.2,,,,,,0.49629008010761866,,-2.4744561097274227,,,-1.093415821738103,,,"Williams Perez",11592,554234
2016,"Alex Claudio","TEX",51.2,,,,,,0.7662485596047689,-6.740649938583373,0.918541759440378,,,1.3387654565345004,,,"Alex Claudio",12890,592222
2016,"Joe Ross","WSN",105,,,,,,-1.0217261500656605,2.396490411386231,,,,0.5170960575342178,,,"Joe Ross",12972,605452
2016,"Zach Davies","MIL",163.1,,,-0.012657619395687537,,,-0.45228006735567733,,1.1266337641587494,,,1.5414831471431993,,,"Zach Davies",13183,605200
2016,"Alex Wood","LAD",60.1,,,,,,0.21850634259019838,,,1.5714748343939564,,0.6291590502549862,,,"Alex Wood",13781,622072
2017,"Kenley Jansen","LAD",68.1,,,2.498879398139397,,,0.021871642181367584,4.268851968212218,,,,,,,"Kenley Jansen",3096,445276
2017,"Tony Watson","- - -",66.2,,,,,,0.7991437094249003,0.5263153790169722,,,,-2.3585553174295155,,,"Tony Watson",3132,453265
2017,"Pat Neshek","- - -",62.1,,,,,,1.4178203169037313,3.0196209784064973,,,,-5.563560073884824,,,"Pat Neshek",4682,450212
2017,"Peter Moylan","KCR",59.1,,,,,,1.5123519855644763,1.662018192503514,,,,-3.7413776923830695,,,"Peter Moylan",4891,493247
2017,"Brad Ziegler","MIA",47,,,,,,1.8323432994524234,,-0.6041893607949558,,,-1.2441712017020872,,,"Brad Ziegler",7293,446899
2017,"Buddy Boshers","MIN",35,,,,,,-1.9411038056722958,,-0.30220245961288006,,,2.864470669407059,,,"Buddy Boshers",8490,542953
2017,"Christian Bergman","SEA",54,,,,,,0.29348999300261136,0.6660066811101777,0.0018344443176210542,,,-5.29052279682623,,,"Christian Bergman",10925,548357
2017,"Zach Davies","MIL",191.1,,,1.118136722385427,,,0.057213792874025504,,-0.2895448184327075,,,-0.780147167751978,,,"Zach Davies",13183,605200
2017,"James Pazos","SEA",53.2,,,,,,-0.3542971212313255,0.7236339724980867,,,,,,,"James Pazos",13323,572021
2017,"Alex Wood","LAD",152.1,,,,,,0.6412955507346728,,,0.9230540996855673,,2.6719364531716616,,,"Alex Wood",13781,622072
2017,"Donnie Hart","BAL",43.2,,,,,,-0.7992941699922086,1.8468512267417272,,,,-0.46133888030394177,,,"Donnie Hart",15306,643354
2017,"Andrew Heaney","LAA",21.2,,,,,,-3.073202834092817,,-0.1475675174823174,,,-3.1601222932979622,,,"Andrew Heaney",15423,571760
2017,"Sean Manaea","OAK",158.2,,,,,,-0.22168149723599093,0.9921663538903318,,,,-0.5209206230368819,,,"Sean Manaea",15873,640455
2018,"Kenley Jansen","LAD",71.2,,,0.9512165100036369,,,0.16844443117196745,-1.7908379237985974,,,,,,,"Kenley Jansen",3096,445276
2018,"Tony Watson","SFG",66,,,,,,0.3638942200889803,0.9921312433384035,,,,3.866557002766058,,,"Tony Watson",3132,453265
2018,"Derek Holland","SFG",171.1,,,,,,0.2943320918505586,-0.5048141514151534,,0.9439929642460564,,-0.274774654826615,,,"Derek Holland",4141,502706
2018,"Pat Neshek","PHI",24.1,,,,,,1.2053710791244083,0.49131999373840535,,,,13.331443257629871,,,"Pat Neshek",4682,450212
2018,"Nate Jones","CHW",30,,,,,,0.17292442208564318,-0.5920827323407458,,,,-3.8053358312357557,,,"Nate Jones",4696,518858
2018,"Peter Moylan","ATL",28.1,,,,-6.164712086319923,,0.40231029427534826,-2.148068187728761,,,,2.2251487842627933,,,"Peter Moylan",4891,493247
2018,"Aaron Loup","- - -",39.2,,,-0.5671620529530378,,,0.07226761878176308,,-1.7805390963878702,,,-4.381087236106396,,,"Aaron Loup",10343,571901
2018,"Matt Grace","WSN",59.2,,,,,,1.0865675622319921,1.0205380771876362,,,,-1.4502742733710852,,,"Matt Grace",11449,594840
2018,"Sam Gaviglio","TOR",123.2,,,,,,-1.8952538662761316,0.6397999234381735,-0.016009875027270155,,,0.2834771056232494,,,"Sam Gaviglio",12778,543208
2018,"Alex Claudio","TEX",68.1,,,-0.5193056538701057,-2.6440227404236794,,-1.4233311384699954,-2.4286852984298624,,,,1.795375603971254,,,"Alex Claudio",12890,592222
2018,"Zach Davies","MIL",66,,,-2.4405309930443764,,,0.8612643386379142,-5.9781895402599785,0.17681693342702637,,,-1.4077442887144676,,,"Zach Davies",13183,605200
2018,"Adrian Sampson","TEX",23,,,,,,-0.48086776278721977,-2.242390775497545,-8.483276360978682,,,2.1333256115516024,,,"Adrian Sampson",13339,592716
2018,"Josh Hader","MIL",81.1,,,,,,1.8768291181107708,2.0915280584398257,,,,-4.423249363899231,,,"Josh Hader",14212,623352
2018,"Ty Blach","SFG",118.2,,,,,,0.4719494234309179,-5.530240008374676,0.28414853626773473,,,0.4561599788769167,,,"Ty Blach",14361,621389
2018,"Andrew Heaney","LAA",180,,,,,,-0.15525962022620343,,0.14283255385837967,,,2.0812124233994496,,,"Andrew Heaney",15423,571760
2018,"Sean Manaea","OAK",160.2,,,,,,0.7276729125196004,-0.8917677136221291,8.480053767561913,,,1.0680209164282797,,,"Sean Manaea",15873,640455
2018,"Ryan Borucki","TOR",97.2,,,,,,0.134287035124826,2.424671985702404,-2.645637959073809,,,0.5149485134496921,,,"Ryan Borucki",16350,621366
2018,"Joey Lucchesi","SDP",130,,,-6.019394443585322,,,0.08820308673080818,,-0.21072602830827236,,,,,,"Joey Lucchesi",19320,664192
2019,"Luis Avilán","NYM",32,,,,,,-1.2379520609553925,,0.9316691235728459,,,0.4281196764537266,,,"Luis Avilan",2882,501593
2019,"Kenley Jansen","LAD",63,,,0.34421193144440804,,,1.2744620019662465,1.9606904234997062,,,,,,,"Kenley Jansen",3096,445276
2019,"Zack Britton","NYY",61.1,,,,,,1.8136403990786518,3.273497779099714,,,,,,,"Zack Britton",3240,502154
2019,"Hector Noesí","MIA",27.2,,,,,,-0.4712710620591004,-3.7862613514579575,1.9807687231216085,,,-2.020134186993043,,,"Hector Noesi",3292,456051
2019,"Buddy Boshers","TOR",20,,,,,,-0.5934088294835468,,1.5308747737153061,,,-10.494029951783327,,,"Buddy Boshers",8490,542953
2019,"Matt Grace","WSN",46.2,,,-3.1252892197746984,,,-1.6301295085048133,0.36743037892339375,4.557297006249428,,,-0.07586121078460446,,,"Matt Grace",11449,594840
2019,"Drew Smyly","- - -",114,,,-2.1031248653762447,,,-1.0027756353502904,,,-0.70690586923403,,-2.0665272600153117,,,"Drew Smyly",11760,592767
2019,"Sam Gaviglio","TOR",95.2,,,,,,-0.7063470768534448,1.4239103114821865,-3.0319822020828724,,,1.2987942408238138,,,"Sam Gaviglio",12778,543208
2019,"Zach Davies","MIL",159.2,,,-0.6994270599132832,,,-0.33105236176528374,-3.188661076128483,-3.5757404408956828,,,2.318366683201602,,,"Zach Davies",13183,605200
2019,"Adrian Sampson","TEX",125.1,,,,,,-2.205372266337623,0.10918709353879749,5.244283936917782,,,-0.8399410866374193,,,"Adrian Sampson",13339,592716
2019,"Steven Matz","NYM",160.1,,,,,,0.007066204762406479,0.18518152920638814,-0.4268630614453123,,,0.48524695087732866,,,"Steven Matz",13361,571927
2019,"Josh Hader","MIL",75.2,,,,,,1.322475056319187,3.728329788216136,,,,-1.9915491342544556,,,"Josh Hader",14212,623352
2019,"Ty Blach","- - -",27,,,1.3976536397086947,,,-3.36051540985956,-3.4669705267463415,1.155193116929796,,,-4.308426333246407,,,"Ty Blach",14361,621389
2019,"Victor Alcántara","DET",42.2,,,,,,-0.09925636924007564,-0.9914332557292213,,,,-1.0391320623115663,,,"Victor Alcantara",15028,622505
2019,"Andrew Heaney","LAA",95.1,,,,,,0.8009420349767359,,-0.8292093021529062,,,-1.3716286639956867,,,"Andrew Heaney",15423,571760
2019,"Miguel Castro","BAL",73.1,,,,,,-1.1977518480858005,1.5868694057041297,,,,1.591660978832865,,,"Miguel Castro",15684,612434
2019,"Sean Manaea","OAK",29.2,,,,,,2.962699741230789,-0.24406785898386163,-7.563784345984459,,,4.781299654507276,,,"Sean Manaea",15873,640455
2019,"Pedro Payano","TEX",22,,,,,,-2.8370965233783134,0.3654355096609093,-2.1096259491010145,,,2.8696526387115804,,,"Pedro Payano",18313,622797
2019,"Reggie McClain","SEA",21,,,,,,0.2661857903547531,-2.7001053269486874,,,,-6.198103865608573,,,"Reggie McClain",19311,596035
2019,"Joey Lucchesi","SDP",163.2,,,-0.6077141735140837,,,0.6401257166380727,,0.7956194722504549,,,,,,"Joey Lucchesi",19320,664192
2019,"David McKay","- - -",26.1,,,,,,0.2610676434346501,,1.0078935031878187,,,,,,"David McKay",19814,641853
2020,"Kenley Jansen","LAD",24.1,,,0.5789198332290718,,,0.8664262048372133,2.2970604515352915,,,,,,,"Kenley Jansen",3096,445276
2020,"T.J. McFarland","OAK",20.2,,,,,,-0.869573959422232,-3.445546185741058,,,,-0.5708104846152392,,,"T.J. McFarland",3237,519008
2020,"Ryan Weber","BOS",43,,,1.6596220734138645,,,0.21433046019477087,-1.144560050327801,-2.9022617920024976,,,-2.793015526688617,,,"Ryan Weber",10160,543901
2020,"Aaron Loup","TBR",25,,,1.5354701405707394,,,1.54659204185009,,-1.2296404795987266,,,2.28983694066604,,,"Aaron Loup",10343,571901
2020,"Zach Davies","SDP",69.1,,,-0.36010282818932793,,,0.11324973738923365,,0.8903569728136062,,,2.7860584087806557,,,"Zach Davies",13183,605200
2020,"Steven Matz","NYM",30.2,,,,,,-1.522669863394078,-3.4254409993688264,-4.165132877073789,,,-2.1572960008467947,,,"Steven Matz",13361,571927
2020,"Phillips Valdez","BOS",30.1,,,,,,-1.4462784450987112,-3.3016670122742653,,,,0.8872969487465051,,,"Phillips Valdez",15605,570488
2020,"Miguel Castro","- - -",24.2,,,,,,-0.8913076067922496,0.021567364533742268,,,,-1.2021165466710422,,,"Miguel Castro",15684,612434
2020,"Wander Suero","WSN",23.2,,,1.4725316954855008,,,,,2.8879897482693195,,,-0.5378885982701411,,,"Wander Suero",15855,593833
2020,"Sean Manaea","OAK",54,,,2.1412950474768877,,,0.5323613805013258,-3.1733107295329286,,,,2.2247623265176624,,,"Sean Manaea",15873,640455
2020,"Andre Scrubb","HOU",23.2,,,1.3805014124819053,,,,8.268574625253677,,0.5293229760611868,,,,,"Andre Scrubb",20329,668687
2021,"Kenley Jansen","LAD",69,,,1.8279015490805972,,,1.4785621718701902,2.5452890766389444,,,,,,,"Kenley Jansen",3096,445276
2021,"T.J. McFarland","STL",38.2,,,0,,,2.8270654146827523,-5.680861457117966,,,,2.076083301740178,,,"T.J. McFarland",3237,519008
2021,"Jake Arrieta","- - -",98.2,,,,,,-2.3521383920603474,-1.3551475888634301,-0.313128057354888,,,-3.7344368725595336,,,"Jake Arrieta",4153,453562
2021,"Aaron Loup","NYM",56.2,,,1.3049494325570816,,,2.8229101457529597,,-0.418419519608671,,,3.9727115693191686,,,"Aaron Loup",10343,571901
2021,"Steven Matz","TOR",150.2,,,,,,0.15318478536174956,-2.200782217440151,-0.6970123210374047,,,1.2044875779085689,,,"Steven Matz",13361,571927
2021,"Taylor Rogers","MIN",40.1,,,,,,0.9588029516273981,1.4253909119229387,,,,,,,"Taylor Rogers",13449,573124
2021,"Alex Wood","SFG",138.2,,,,,,0.9786950945269255,0.9332525357066466,,,,-1.1339914724693536,,,"Alex Wood",13781,622072
2021,"Lance McCullers Jr.","HOU",162.1,,,-4.554225203204662,,,-0.3349138396350961,1.632449391926704,,1.7048690451969333,,-0.3424373866294756,,,"Lance McCullers Jr.",14120,621121
2021,"Miguel Castro","NYM",70.1,,,,,,0.17829796826502062,1.3672079830602915,,,,0.3875939819709699,,,"Miguel Castro",15684,612434
2021,"Wander Suero","WSN",42.2,,,-0.5061805688051714,,,,,-4.528863629093394,,,-0.80451630368954,,,"Wander Suero",15855,593833
2021,"Aaron Bummer","CHW",56.1,,,-1.3504189665655832,,,0.5078514965405521,3.1653558003141526,,,,-2.0970743770400686,,,"Aaron Bummer",16258,607481
2021,"Sam Clay","WSN",45,,,,,,-0.728017216864622,0.7557324437918711,,,,-2.9609624876991494,,,"Sam Clay",16279,621348
2021,"Ryan Borucki","TOR",23.2,,,,,,-0.2389195759635453,0.7530115760308651,,,,-1.0311708080046105,,,"Ryan Borucki",16350,621366
2021,"Victor González","LAD",35.1,,,,,,0.3582665128270527,-0.09392789568767011,,,,,,,"Victor Gonzalez",16408,624647
2021,"Joey Lucchesi","NYM",38.1,,,-9.961408678264846,,,0.8424833887400701,,1.060929842356403,,,-2.876425161957741,,,"Joey Lucchesi",19320,664192
2021,"Sean Poppen","- - -",22.2,,,,,,0.48897971274665974,-2.6452856356060352,,,,-1.6789091591324123,,,"Sean Poppen",19583,664092
2021,"Charlie Barnes","MIN",38,,,,,,-1.6229849244277783,0.06760134590121936,-1.8077837070450187,,,-0.5745453828292367,,,"Charlie Barnes",19865,656212
2022,"Kenley Jansen","ATL",64,,,1.8416489025215643,,,-1.5167616264817352,-0.13216258744702084,,,,,,,"Kenley Jansen",3096,445276
2022,"T.J. McFarland","STL",32.2,,,,,,-1.0315725263329891,2.182158248851428,,,,-4.112229936660451,,,"T.J. McFarland",3237,519008
2022,"Bryan Shaw","CLE",58.1,,,0.1755189402962765,12.73973393253982,,-1.220053387016563,-2.087255191626185,-5.242536817159918,,,-0.5792559324098485,,,"Bryan Shaw",8110,543766
