Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2020,"Rafael Dolis","TOR",24,0.2887931,0.57142857,0.41304348,0.44776119,0.85576923,0.69590643,0.43961353,32.03020134,"Rafael Dolis",4185,503569
2021,"Giovanny Gallegos","STL",80.1,0.3561848,0.69734513,0.51213592,0.41004184,0.84517766,0.68088468,0.45711974,31.55441008,"Giovanny Gallegos",14986,606149
2014,"Junichi Tazawa","BOS",63,0.31440162,0.68965517,0.5020284,0.55483871,0.85882353,0.76363636,0.5,31.07936508,"Junichi Tazawa",4079,547749
2022,"Giovanny Gallegos","STL",59,0.34932821,0.71092077,0.52024291,0.41758242,0.80421687,0.66731518,0.47267206,30.84897959,"Giovanny Gallegos",14986,606149
2021,"Rafael Dolis","TOR",32,0.22153846,0.62815884,0.40863787,0.51388889,0.83333333,0.7398374,0.46013289,30.8108747,"Rafael Dolis",4185,503569
2014,"Joel Peralta","TBR",63.1,0.33078394,0.6254417,0.48393021,0.61849711,0.8220339,0.75521822,0.51974288,30.69329897,"Joel Peralta",2332,407908
2021,"Aroldis Chapman","NYY",56.1,0.24646465,0.62868369,0.44023904,0.3852459,0.70625,0.61764706,0.50697211,30.56094183,"Aroldis Chapman",10233,547973
2022,"Devin Williams","MIL",60.2,0.35714286,0.62389381,0.47003745,0.44545455,0.73758865,0.60956175,0.42322097,30.54522924,"Devin Williams",15816,642207
2021,"Alex Colomé","MIN",65,0.29752066,0.71570577,0.48736462,0.53333333,0.84722222,0.74259259,0.45397112,30.44010088,"Alex Colome",6661,517008
2021,"Kyle Finnegan","WSN",66,0.25905797,0.65449011,0.47394541,0.55244755,0.84651163,0.77312391,0.54342432,30.39261745,"Kyle Finnegan",15009,640448
2021,"Hirokazu Sawamura","BOS",53,0.30685921,0.70542636,0.47077577,0.42352941,0.81318681,0.66365688,0.41126461,30.13138686,"Hirokazu Sawamura",27515,617228
2016,"Joel Peralta","- - -",27.1,0.29004329,0.69259259,0.50698603,0.67164179,0.80213904,0.76771654,0.53892216,29.98898072,"Joel Peralta",2332,407908
2015,"Junichi Tazawa","BOS",58.2,0.31154684,0.67209776,0.49789474,0.57342657,0.85454545,0.76955603,0.51684211,29.98505232,"Junichi Tazawa",4079,547749
2022,"Alex Colomé","COL",47,0.28509719,0.7020649,0.46134663,0.64393939,0.90756303,0.81351351,0.42269327,29.96466431,"Alex Colome",6661,517008
