Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2024,"George Kirby","SEA",191,9.165172891323238,,5.1656362360174,1.0784190601070984,,6.88062045849679,-1.2451278816940439,,-7.790859897440844,,,,3.4521148204803467,"George Kirby",25436,669923
2017,"R.A. Dickey","ATL",190,6.223672835553279,,,,,,,,,1.9334378709980087,,,2.1603931576051956,"R.A. Dickey",1245,285079
2016,"R.A. Dickey","TOR",169.2,5.506783295777071,,,,,,,,,0.9798778843235325,,,1.9086887153641967,"R.A. Dickey",1245,285079
2015,"R.A. Dickey","TOR",214.1,5.472444322374132,,,,,,,,,0.8973077627328726,,,1.7915774686503012,"R.A. Dickey",1245,285079
2023,"George Kirby","SEA",190.2,8.858158687893436,,,0.42569183885005485,,6.168223714593596,-1.1808255422029563,,-7.258551703559028,,3.28118896484375,,1.7244428396224976,"George Kirby",25436,669923
2014,"R.A. Dickey","TOR",215.2,5.984831830820142,,,,,,,,,-0.02509887925871126,,,1.4422224966163115,"R.A. Dickey",1245,285079
2014,"Steven Wright","BOS",21,8.910188782889888,,,,,,,-0.6708333359824287,,,,,1.155175086589175,"Steven Wright",8185,453214
2017,"Steven Wright","BOS",24,8.388827592898638,,,,,,,1.1786787133467824,,,,,0.7855392156862745,"Steven Wright",8185,453214
2015,"Steven Wright","BOS",72.2,8.223577359827553,,,,,,,0.5527868857149218,,,,,-0.07350916381275982,"Steven Wright",8185,453214
2016,"Steven Wright","BOS",156.2,7.825489210045856,,,,,,,-0.7617500305175782,,,,,-0.0842683688237797,"Steven Wright",8185,453214
2018,"Steven Wright","BOS",53.2,9.495934945565683,,,,,5.62578386579241,,0.24780619976132415,,,,,-0.09466015811755693,"Steven Wright",8185,453214
2023,"Matt Waldron","SDP",41.1,8.867329694222713,,4.84599460255016,,,5.036941144451405,2.1309487731368453,,,,,,-1.8287089029947916,"Matt Waldron",25550,663362
2024,"Matt Waldron","SDP",146.2,8.1468015937395,,5.339806181559631,,,4.701853138866911,2.517463158187552,,,,,,-2.152071137861772,"Matt Waldron",25550,663362
2014,"Neftalí Feliz","TEX",31.2,9.331339898510514,,,,,5.379999946145451,2.631927674075207,,,,6.474098580782531,,,"Neftali Feliz",18,491703
2014,"Erik Bedard","TBR",75.2,10.878073451707815,,9.623173713684082,7.499040161132813,,8.151470132070045,,-6.1449440216349664,,,4.5166143394378295,,,"Erik Bedard",126,407853
2014,"Mark Buehrle","TOR",202,7.165467797256097,,3.268670150914143,,,5.677940359687133,,-3.921176976991116,,,4.583011539837786,,,"Mark Buehrle",225,279824
2014,"Kyle Farnsworth","- - -",28.2,7.271209046080872,,7,,,4.548571341378349,0.609636378288269,0.5600000023841858,,,4.791267824844575,,,"Kyle Farnsworth",278,150035
2014,"Bartolo Colon","NYM",202.1,8.848224390332945,,,,,4.462715586521976,1.2576358629309612,,,,5.189112556051221,,,"Bartolo Colon",375,112526
2014,"CC Sabathia","NYY",46,8.915049335744122,,,,,5.982080078125,1.979378181417989,0.5966666539510092,,,5.995066731770834,,,"CC Sabathia",404,282332
2014,"Fernando Rodney","SEA",66.1,11.006969105113637,,,,,5.57273587123803,,,,,1.6987041634573063,,,"Fernando Rodney",494,407845
2014,"Josh Beckett","LAD",115.2,7.979329427083333,,6.201508620689655,,,6.4836818488069285,,-7.924683660523504,,,4.1618090177837175,,,"Josh Beckett",510,277417
2014,"A.J. Burnett","PHI",213.2,7.799046514484027,,,,,5.139681134905134,,,-5.032121685189261,,1.6376894170587712,,,"A.J. Burnett",512,150359
2014,"Jason Grilli","- - -",54,8.859348892476516,,,,,5.3816216958535685,-0.3088675056722262,,,,7.447169753740418,,,"Jason Grilli",521,276351
