Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Spencer Strider","ATL",14.520400047302246,7.0528998374938965,19.265300750732422,3.185040315715475,30.780000686645508,30.780000686645508,0,0,,184.80160522460938,752.1430053710938,138.49139404296875,70.4927978515625,65.40006256103516,21.1700496673584,62.1338005065918,,7.874199867248535,257.0939025878906,12.520698185920784,3.025970493490383,4.137746290935727,1.030999956816681,0.3418151877395245,0.08260902522910002,0.2592061625104245,0.2030263701882978,1.085624739599632,0.29049208547896604,0.7610654702006664,0.37129455729736693,,3.098368785441146,4.855186515998117,,,,,,,,,1051.2264472961426,5.6884053903020675,952.961184501648,5.156671574055924,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Zack Wheeler","PHI",13.089300155639648,9.756099700927734,19.585500717163086,3.5565394586294055,32,32,0,0,,197.4420928955078,813.18798828125,179.69410705566406,84.79650115966797,78.02339935302734,23.934370040893555,47.65439987182617,,9.353300094604492,198.57479858398438,9.051632106643462,2.172229804479517,4.166977217593376,1.0910000355498812,0.24419298052310273,0.058601947592153036,0.1855910329309497,0.23763394766097407,1.1514692920511624,0.2918646545933864,0.7354092023786102,0.4380876575555625,,3.685649213040447,4.697060463849155,,,,,,,,,925.6005548477174,4.687959600071564,902.1901512145996,4.569391146456623,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Kevin Gausman","TOR",12.99209976196289,9.610799789428711,19.31290054321289,3.4424807182723773,32,32,0,0,,193.297607421875,797.4329833984375,167.19439697265625,80.21269989013672,73.93592071533203,23.732648849487305,51.72309875488281,,5.119500160217285,220.9351043701172,10.286810922554807,2.4082444423534284,4.271497835370126,1.1049999143507965,0.2770578957350789,0.06486200073447346,0.21219589500060543,0.2257582605387148,1.132541155823767,0.2892825192461838,0.7469624684302122,0.4085293257823956,,3.447396713744387,4.294591035658176,,,,,,,,,975.1276939392092,5.044696139518054,929.3060140609741,4.807643645752684,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Aaron Nola","PHI",12.453499794006348,10.284099578857422,18.275800704956055,3.8207194174048857,32,32,0,0,,195.10670471191406,808.5650024414062,182.90960693359375,89.40630340576172,82.82755279541016,27.74850845336914,44.563201904296875,,6.816199779510498,200.48280334472656,9.247991927118832,2.055638312024553,4.498841976734073,1.279999969499112,0.24794890050816268,0.055113938606965875,0.1928349619011968,0.24156508886405698,1.1658892459578307,0.29333555227511116,0.7319633178106164,0.422084421205797,,3.8388399189430276,4.198240004218826,,,,,,,,,873.7453845024108,4.478295022165152,861.6303153038025,4.416200440554043,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Pablo López","MIN",12.734199523925781,9.87969970703125,19.06060028076172,3.5126498179280796,32,32,0,0,,193.26589965820312,801.2680053710938,171.68240356445312,82.0250015258789,75.43060302734375,22.118207931518555,53.560001373291016,,8.814000129699707,213.5178985595703,9.943094412592451,2.494180366076593,3.9865177947147354,1.0299999727614533,0.2664750085218779,0.06684405344312432,0.19963095507875356,0.23235051667180595,1.1654534262696754,0.2971919495202457,0.7371817916282061,0.44068823071846125,,3.5014517056465744,4.174793955306898,,,,,,,,,951.6532432556153,4.924061849186247,918.7065877914429,4.753588653850496,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Logan Webb","SFG",12.535400390625,10.57229995727539,20.4153995513916,3.5025004489510456,32,32,0,0,,201.37680053710938,842.22900390625,201.57510375976562,86.86750030517578,78.36914825439453,17.452655792236328,44.7046012878418,,8.103099822998047,180.38600158691406,8.061872122072252,1.9979531431498405,4.03506566193161,0.7799999886341508,0.21417690527194566,0.05307891450009711,0.16109799077184855,0.2553454068771269,1.2229795308632059,0.31123706787911914,0.7185715051345086,0.5625752497097151,,3.376879744134837,4.156706863769378,,,,,,,,,953.7742877960205,4.736266964477175,982.3483772277832,4.878160615362233,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Framber Valdez","HOU",13.877900123596191,8.365500450134277,20.300800323486328,3.392789466897865,30.780000686645508,30.780000686645508,0,0,,195.4971923828125,811.1920166015625,179.69949340820312,81.61830139160156,73.69786834716797,16.769315719604492,62.923301696777344,,9.871399879455566,197.20799255371094,9.07875919521103,2.896766487377873,3.134101155467674,0.7720000458160502,0.24310889224465165,0.07756893609529163,0.16553995614936,0.24336422919148726,1.2410551381724657,0.3106864261295135,0.7346913706409879,0.5704028314921913,,3.4697197800278436,4.090137820006603,,,,,,,,,949.2298377990722,4.855465320137895,935.5167379379272,4.785320579469227,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Tarik Skubal","DET",11.39229965209961,8.931099891662598,17.155500411987305,3.3293908769118747,29.15999984741211,29.15999984741211,0,0,,171.18479919433594,702.4409790039062,147.9971923828125,68.92050170898438,63.32678985595703,19.43898582458496,46.648399353027344,,6.382400035858154,197.5959014892578,10.388557405640032,2.452528473048776,4.235855982836299,1.0220000446573139,0.28129893812496237,0.06640899484420304,0.21488994328075933,0.22789478364898325,1.1370495082035308,0.2973301408459719,0.7509068292627257,0.432117414330651,,3.3520548782271593,4.006458491880489,,,,,,,,,878.9746930122374,5.13465387785039,839.3165850639343,4.902985481269911,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Tyler Glasnow","LAD",11.131099700927734,6.95419979095459,15.00979995727539,3.4804396222671254,25.920000076293945,25.920000076293945,0,0,,153.33889770507812,629.72802734375,127.58489990234375,64.302001953125,59.29853057861328,18.605119705200195,48.23590087890625,,4.1921000480651855,190.68179321289062,11.191786067333796,2.8311349201500056,3.9531094006430494,1.092000006866206,0.30280023269284,0.07659798958348679,0.22620224310935322,0.22100276124053828,1.1466157864223863,0.2961301546052982,0.7445823169936633,0.4428998036269243,,3.3710381447227467,3.685902388311927,,,,,,,,,798.2237145423887,5.205617925320158,748.907516002655,4.884002214774323,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Zac Gallen","ARI",12.488800048828125,10.318900108337402,18.481700897216797,3.817790376115223,32,32,0,0,,196.30990600585938,824.1389770507812,185.49440002441406,90.10150146484375,83.27445220947266,23.666248321533203,54.337100982666016,,8.193599700927734,202.4208984375,9.280163813450779,2.491132102265882,3.725279685091664,1.0849999331538644,0.24561500435505718,0.0659319635349778,0.17968304082007938,0.24355617681731084,1.2216984149537604,0.3021881728948622,0.7243875306963177,0.4284566670078969,,3.715595484784606,3.6500023018381063,,,,,,,,,896.5627048492432,4.567078264621466,891.137996673584,4.539444874712465,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
